"Step","fedadagrad_5_compare - train_accuracy","fedadagrad_5_compare - train_accuracy__MIN","fedadagrad_5_compare - train_accuracy__MAX","fedadagrad_4_compare - train_accuracy","fedadagrad_4_compare - train_accuracy__MIN","fedadagrad_4_compare - train_accuracy__MAX","fedadagrad_3_compare - train_accuracy","fedadagrad_3_compare - train_accuracy__MIN","fedadagrad_3_compare - train_accuracy__MAX","fedavg_5_compare - train_accuracy","fedavg_5_compare - train_accuracy__MIN","fedavg_5_compare - train_accuracy__MAX","fedadagrad_2_compare - train_accuracy","fedadagrad_2_compare - train_accuracy__MIN","fedadagrad_2_compare - train_accuracy__MAX","fedadam_5_compare - train_accuracy","fedadam_5_compare - train_accuracy__MIN","fedadam_5_compare - train_accuracy__MAX","fedadagrad_1_compare - train_accuracy","fedadagrad_1_compare - train_accuracy__MIN","fedadagrad_1_compare - train_accuracy__MAX","fedadam_4_compare - train_accuracy","fedadam_4_compare - train_accuracy__MIN","fedadam_4_compare - train_accuracy__MAX","fedadam_3_compare - train_accuracy","fedadam_3_compare - train_accuracy__MIN","fedadam_3_compare - train_accuracy__MAX","afl_5_compare - train_accuracy","afl_5_compare - train_accuracy__MIN","afl_5_compare - train_accuracy__MAX"
"31","","","","0.46326438623729155","0.46326438623729155","0.46326438623729155","0.5754157982918556","0.5754157982918556","0.5754157982918556","0.958189852201737","0.958189852201737","0.958189852201737","0.8796901609624788","0.8796901609624788","0.8796901609624788","0.9810757275636142","0.9810757275636142","0.9810757275636142","0.20044639642882858","0.20044639642882858","0.20044639642882858","0.9797165322782592","0.9797165322782592","0.9797165322782592","0.9857382207510932","0.9857382207510932","0.9857382207510932","0.9486594973666372","0.9486594973666372","0.9486594973666372"
"32","","","","0.6002455448491387","0.6002455448491387","0.6002455448491387","0.2359281864582218","0.2359281864582218","0.2359281864582218","0.9593503311859178","0.9593503311859178","0.9593503311859178","0.9064258486113632","0.9064258486113632","0.9064258486113632","0.977648731210114","0.977648731210114","0.977648731210114","0.010918900402500643","0.010918900402500643","0.010918900402500643","0.9791658915882288","0.9791658915882288","0.9791658915882288","0.981439840097084","0.981439840097084","0.981439840097084","0.9420966035273696","0.9420966035273696","0.9420966035273696"
"33","","","","0.2247211066488175","0.2247211066488175","0.2247211066488175","0.03155989296395404","0.03155989296395404","0.03155989296395404","0.9590937696664569","0.9590937696664569","0.9590937696664569","0.9051393843308231","0.9051393843308231","0.9051393843308231","0.9834801762114538","0.9834801762114538","0.9834801762114538","0.24890202028267988","0.24890202028267988","0.24890202028267988","0.9758143685854529","0.9758143685854529","0.9758143685854529","0.9757988351959704","0.9757988351959704","0.9757988351959704","0.9543830538725794","0.9543830538725794","0.9543830538725794"
"34","","","","0.4832947181088614","0.4832947181088614","0.4832947181088614","0.13928377645143789","0.13928377645143789","0.13928377645143789","0.9545337217449021","0.9545337217449021","0.9545337217449021","0.7894615561871111","0.7894615561871111","0.7894615561871111","0.9801246358641543","0.9801246358641543","0.9801246358641543","0.013451807972355918","0.013451807972355918","0.013451807972355918","0.973775225815117","0.973775225815117","0.973775225815117","0.9827997829625611","0.9827997829625611","0.9827997829625611","","",""
"35","","","","0.6988676826662868","0.6988676826662868","0.6988676826662868","0.48081034307238113","0.48081034307238113","0.48081034307238113","0.9357757473609509","0.9357757473609509","0.9357757473609509","0.6457607903473965","0.6457607903473965","0.6457607903473965","0.9803069280581922","0.9803069280581922","0.9803069280581922","0.6780369956369668","0.6780369956369668","0.6780369956369668","0.9769263637658453","0.9769263637658453","0.9769263637658453","0.9826936781024127","0.9826936781024127","0.9826936781024127","","",""
"36","","","","0.49363636363636365","0.49363636363636365","0.49363636363636365","0.6912216593306204","0.6912216593306204","0.6912216593306204","0.9599919039265956","0.9599919039265956","0.9599919039265956","0.44852620879918687","0.44852620879918687","0.44852620879918687","0.9808730265821077","0.9808730265821077","0.9808730265821077","0.5671629625604521","0.5671629625604521","0.5671629625604521","0.9733522727272728","0.9733522727272728","0.9733522727272728","0.9870027406361598","0.9870027406361598","0.9870027406361598","","",""
"37","","","","0.6699823165340407","0.6699823165340407","0.6699823165340407","0.7074885606934266","0.7074885606934266","0.7074885606934266","0.9566833216335632","0.9566833216335632","0.9566833216335632","0.49757617728531855","0.49757617728531855","0.49757617728531855","0.9766692819094025","0.9766692819094025","0.9766692819094025","0.517428793265498","0.517428793265498","0.517428793265498","0.9805481874447391","0.9805481874447391","0.9805481874447391","0.9860496261299803","0.9860496261299803","0.9860496261299803","0.9533994605209851","0.9533994605209851","0.9533994605209851"
"38","","","","0.4158666283414774","0.4158666283414774","0.4158666283414774","0.5502738707990421","0.5502738707990421","0.5502738707990421","0.9581058495821727","0.9581058495821727","0.9581058495821727","0.8902066578438359","0.8902066578438359","0.8902066578438359","0.9842896935933148","0.9842896935933148","0.9842896935933148","0.5356899810964083","0.5356899810964083","0.5356899810964083","0.9776947398677781","0.9776947398677781","0.9776947398677781","0.9833750791335223","0.9833750791335223","0.9833750791335223","0.9083150042943222","0.9083150042943222","0.9083150042943222"
"39","","","","0.5797337385138557","0.5797337385138557","0.5797337385138557","0.43180887372013654","0.43180887372013654","0.43180887372013654","0.9477528572656183","0.9477528572656183","0.9477528572656183","0.8634707263746052","0.8634707263746052","0.8634707263746052","0.9767122110509582","0.9767122110509582","0.9767122110509582","0.26865203761755485","0.26865203761755485","0.26865203761755485","0.982779827798278","0.982779827798278","0.982779827798278","0.9813310580204778","0.9813310580204778","0.9813310580204778","","",""
"40","","","","0.7148740829722425","0.7148740829722425","0.7148740829722425","0.5325928180158247","0.5325928180158247","0.5325928180158247","0.9622896127750497","0.9622896127750497","0.9622896127750497","0.5993766278126468","0.5993766278126468","0.5993766278126468","0.9829066236833227","0.9829066236833227","0.9829066236833227","0.23735430260442808","0.23735430260442808","0.23735430260442808","0.9800077223390107","0.9800077223390107","0.9800077223390107","0.9842665855143031","0.9842665855143031","0.9842665855143031","","",""
